run_id,variant,model,prompt_strategy,tier,tier_order,database,question,gold_sql,generated_sql,outcome,correct,executed,silent_failure,error_type,confidence,confidence_bucket,gold_rows,returned_rows,tokens,cost_usd,latency_ms
108,V4,Llama 3.1 70B,few-shot,complex,3,game_1,Show the game name that has most number of hours played.,SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid = T2.gameid GROUP BY T1.gameid ORDER BY sum(hours_played) DESC LIMIT 1,SELECT T2.GName FROM Plays_Games AS T1 JOIN Video_Games AS T2 ON T1.GameID = T2.GameID ORDER BY T1.Hours_Played DESC LIMIT 1,Correct,1,1,0,none,0.8,0.7 to 0.9,1,1,1018,0.000612,4477
109,V1,Llama 3.1 8B,zero-shot,complex,3,hospital_1,Find the name of physicians who are affiliated with Surgery or Psychiatry department.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T3.name = 'Surgery' OR T3.name = 'Psychiatry',"SELECT DISTINCT T1.Name FROM Physician AS T1 JOIN Affiliated_With AS T2 ON T1.EmployeeID = T2.Physician JOIN Department AS T3 ON T2.Department = T3.DepartmentID WHERE T3.Name IN ('Surgery', 'Psychiatry')",Correct,1,1,0,none,1.0,0.9 to 1.0,4,4,1406,0.000073,14418
110,V2,Llama 3.1 8B,few-shot,complex,3,hospital_1,Find the name of physicians who are affiliated with Surgery or Psychiatry department.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T3.name = 'Surgery' OR T3.name = 'Psychiatry',"SELECT T1.Name FROM Physician AS T1 JOIN Affiliated_With AS T2 ON T1.EmployeeID = T2.Physician JOIN Department AS T3 ON T2.Department = T3.DepartmentID WHERE T3.Name IN ('Surgery', 'Psychiatry')",Correct,1,1,0,none,0.95,0.9 to 1.0,4,4,2037,0.000104,20521
111,V3,Llama 3.1 70B,zero-shot,complex,3,hospital_1,Find the name of physicians who are affiliated with Surgery or Psychiatry department.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T3.name = 'Surgery' OR T3.name = 'Psychiatry',SELECT DISTINCT P.Name FROM Physician P JOIN Affiliated_With A ON P.EmployeeID = A.Physician JOIN Department D ON A.Department = D.DepartmentID WHERE D.Name = 'Surgery' OR D.Name = 'Psychiatry',Correct,1,1,0,none,1.0,0.9 to 1.0,4,4,1398,0.000838,6416
112,V4,Llama 3.1 70B,few-shot,complex,3,hospital_1,Find the name of physicians who are affiliated with Surgery or Psychiatry department.,SELECT T1.name FROM physician AS T1 JOIN affiliated_with AS T2 ON T1.EmployeeID = T2.physician JOIN department AS T3 ON T2.department = T3.DepartmentID WHERE T3.name = 'Surgery' OR T3.name = 'Psychiatry',SELECT DISTINCT T1.Name FROM Physician AS T1 JOIN Affiliated_With AS T2 ON T1.EmployeeID = T2.Physician JOIN Department AS T3 ON T2.Department = T3.DepartmentID WHERE T3.Name = 'Surgery' OR T3.Name = 'Psychiatry',Correct,1,1,0,none,0.9,0.9 to 1.0,4,4,2043,0.001221,621
113,V1,Llama 3.1 8B,zero-shot,complex,3,hr_1,"What are the employee ids of employees who report to Payam, and what are their salaries?","SELECT employee_id , salary FROM employees WHERE manager_id = (SELECT employee_id FROM employees WHERE first_name = 'Payam' )","SELECT e.employee_id, e.salary FROM employees e JOIN employees m ON e.manager_id = m.employee_id WHERE m.first_name = 'Payam'",Correct,1,1,0,none,1.0,0.9 to 1.0,8,8,862,0.000045,8457
114,V2,Llama 3.1 8B,few-shot,complex,3,hr_1,"What are the employee ids of employees who report to Payam, and what are their salaries?","SELECT employee_id , salary FROM employees WHERE manager_id = (SELECT employee_id FROM employees WHERE first_name = 'Payam' )","SELECT E1.employee_id, E1.salary FROM employees E1 JOIN employees E2 ON E1.manager_id = E2.employee_id WHERE E2.first_name = 'Payam'",Correct,1,1,0,none,0.95,0.9 to 1.0,8,8,1498,0.000076,15879
115,V3,Llama 3.1 70B,zero-shot,complex,3,hr_1,"What are the employee ids of employees who report to Payam, and what are their salaries?","SELECT employee_id , salary FROM employees WHERE manager_id = (SELECT employee_id FROM employees WHERE first_name = 'Payam' )","SELECT E1.EMPLOYEE_ID, E1.SALARY FROM employees E1 JOIN employees E2 ON E1.MANAGER_ID = E2.EMPLOYEE_ID WHERE E2.FIRST_NAME = 'Payam'",Correct,1,1,0,none,1.0,0.9 to 1.0,8,8,879,0.000531,490
116,V4,Llama 3.1 70B,few-shot,complex,3,hr_1,"What are the employee ids of employees who report to Payam, and what are their salaries?","SELECT employee_id , salary FROM employees WHERE manager_id = (SELECT employee_id FROM employees WHERE first_name = 'Payam' )","SELECT E1.EMPLOYEE_ID, E1.SALARY FROM employees E1 JOIN employees E2 ON E1.MANAGER_ID = E2.EMPLOYEE_ID WHERE E2.FIRST_NAME = 'Payam'",Correct,1,1,0,none,0.9,0.9 to 1.0,8,8,1510,0.000904,7552
117,V1,Llama 3.1 8B,zero-shot,complex,3,inn_1,Find the name of rooms whose price is higher than the average price.,SELECT roomName FROM Rooms WHERE basePrice > ( SELECT avg(basePrice) FROM Rooms );,SELECT roomName FROM Rooms WHERE basePrice > (SELECT AVG(basePrice) FROM Rooms),Correct,1,1,0,none,1.0,0.9 to 1.0,4,4,318,0.000017,3292
118,V2,Llama 3.1 8B,few-shot,complex,3,inn_1,Find the name of rooms whose price is higher than the average price.,SELECT roomName FROM Rooms WHERE basePrice > ( SELECT avg(basePrice) FROM Rooms );,SELECT roomName FROM Rooms WHERE basePrice > (SELECT AVG(basePrice) FROM Rooms),Correct,1,1,0,none,0.95,0.9 to 1.0,4,4,948,0.000048,9377
119,V3,Llama 3.1 70B,zero-shot,complex,3,inn_1,Find the name of rooms whose price is higher than the average price.,SELECT roomName FROM Rooms WHERE basePrice > ( SELECT avg(basePrice) FROM Rooms );,SELECT roomName FROM Rooms WHERE basePrice > (SELECT AVG(basePrice) FROM Rooms),Correct,1,1,0,none,1.0,0.9 to 1.0,4,4,318,0.000194,187
120,V4,Llama 3.1 70B,few-shot,complex,3,inn_1,Find the name of rooms whose price is higher than the average price.,SELECT roomName FROM Rooms WHERE basePrice > ( SELECT avg(basePrice) FROM Rooms );,SELECT roomName FROM Rooms WHERE basePrice > (SELECT AVG(basePrice) FROM Rooms),Correct,1,1,0,none,0.95,0.9 to 1.0,4,4,948,0.000566,4419
121,V1,Llama 3.1 8B,zero-shot,complex,3,local_govt_and_lot,How many customers did not have any event?,SELECT count(*) FROM customers WHERE customer_id NOT IN ( SELECT customer_id FROM customer_events ),SELECT COUNT(DISTINCT c.customer_id) FROM Customers c LEFT JOIN Customer_Events ce ON c.customer_id = ce.customer_id WHERE ce.customer_id IS NULL,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,853,0.000044,9346
122,V2,Llama 3.1 8B,few-shot,complex,3,local_govt_and_lot,How many customers did not have any event?,SELECT count(*) FROM customers WHERE customer_id NOT IN ( SELECT customer_id FROM customer_events ),SELECT COUNT(T1.customer_id) FROM Customers AS T1 LEFT JOIN Customer_Events AS T2 ON T1.customer_id = T2.customer_id WHERE T2.customer_id IS NULL,Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,1487,0.000076,15543
123,V3,Llama 3.1 70B,zero-shot,complex,3,local_govt_and_lot,How many customers did not have any event?,SELECT count(*) FROM customers WHERE customer_id NOT IN ( SELECT customer_id FROM customer_events ),SELECT COUNT(customer_id) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Customer_Events),Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,840,0.000503,4469
124,V4,Llama 3.1 70B,few-shot,complex,3,local_govt_and_lot,How many customers did not have any event?,SELECT count(*) FROM customers WHERE customer_id NOT IN ( SELECT customer_id FROM customer_events ),SELECT COUNT(customer_id) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Customer_Events),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1470,0.000874,536
125,V1,Llama 3.1 8B,zero-shot,complex,3,manufactory_1,Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT sum(revenue) FROM manufacturers WHERE revenue > (SELECT min(revenue) FROM manufacturers WHERE headquarter = 'Austin'),SELECT SUM(Revenue) FROM Manufacturers WHERE Revenue > (SELECT AVG(Revenue) FROM Manufacturers WHERE Headquarter = 'Austin'),Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,275,0.000015,2396
126,V2,Llama 3.1 8B,few-shot,complex,3,manufactory_1,Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT sum(revenue) FROM manufacturers WHERE revenue > (SELECT min(revenue) FROM manufacturers WHERE headquarter = 'Austin'),SELECT SUM(revenue) FROM Manufacturers WHERE revenue > (SELECT MIN(revenue) FROM Manufacturers WHERE Headquarter = 'Austin'),Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,905,0.000046,9437
127,V3,Llama 3.1 70B,zero-shot,complex,3,manufactory_1,Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT sum(revenue) FROM manufacturers WHERE revenue > (SELECT min(revenue) FROM manufacturers WHERE headquarter = 'Austin'),SELECT SUM(M1.Revenue) FROM Manufacturers M1 WHERE M1.Revenue > (SELECT MIN(M2.Revenue) FROM Manufacturers M2 WHERE M2.Headquarter = 'Austin'),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,292,0.000184,1023
128,V4,Llama 3.1 70B,few-shot,complex,3,manufactory_1,Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT sum(revenue) FROM manufacturers WHERE revenue > (SELECT min(revenue) FROM manufacturers WHERE headquarter = 'Austin'),SELECT SUM(T1.Revenue) FROM Manufacturers AS T1 WHERE T1.Revenue > (SELECT MIN(T2.Revenue) FROM Manufacturers AS T2 WHERE T2.Headquarter = 'Austin'),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,922,0.000555,43612
129,V1,Llama 3.1 8B,zero-shot,complex,3,network_2,"What are the names, ages, and jobs of all people who are friends with Alice for the longest amount of time?","SELECT T1.name , T1.age , T1.job FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice' AND T2.year = (SELECT max(YEAR) FROM PersonFriend WHERE friend = 'Alice')","SELECT p1.name, p1.age, p1.job FROM Person p1 JOIN PersonFriend pf ON p1.name = pf.name JOIN Person p2 ON p2.name = pf.friend WHERE p1.name != 'Alice' AND pf.year = (SELECT MAX(pf2.year) FROM PersonFriend pf2 WHERE pf2.friend = 'Alice')",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,302,0.000018,2482
130,V2,Llama 3.1 8B,few-shot,complex,3,network_2,"What are the names, ages, and jobs of all people who are friends with Alice for the longest amount of time?","SELECT T1.name , T1.age , T1.job FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice' AND T2.year = (SELECT max(YEAR) FROM PersonFriend WHERE friend = 'Alice')","SELECT P1.name, P1.age, P1.job FROM Person AS P1 JOIN PersonFriend AS P2 ON P1.name = P2.name WHERE P2.friend = 'Alice' ORDER BY P2.year DESC LIMIT 1",Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,911,0.000048,473
131,V3,Llama 3.1 70B,zero-shot,complex,3,network_2,"What are the names, ages, and jobs of all people who are friends with Alice for the longest amount of time?","SELECT T1.name , T1.age , T1.job FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice' AND T2.year = (SELECT max(YEAR) FROM PersonFriend WHERE friend = 'Alice')","SELECT P.name, P.age, P.job FROM Person P JOIN PersonFriend PF ON P.name = PF.name WHERE PF.friend = 'Alice' AND PF.year = (SELECT MIN(year) FROM PersonFriend WHERE friend = 'Alice')",Correct,1,1,0,none,0.8,0.7 to 0.9,1,1,279,0.000178,252
132,V4,Llama 3.1 70B,few-shot,complex,3,network_2,"What are the names, ages, and jobs of all people who are friends with Alice for the longest amount of time?","SELECT T1.name , T1.age , T1.job FROM Person AS T1 JOIN PersonFriend AS T2 ON T1.name = T2.name WHERE T2.friend = 'Alice' AND T2.year = (SELECT max(YEAR) FROM PersonFriend WHERE friend = 'Alice')","SELECT P.name, P.age, P.job FROM Person AS P JOIN PersonFriend AS F ON P.name = F.friend WHERE F.name = 'Alice' AND F.year = (SELECT MIN(year) FROM PersonFriend WHERE name = 'Alice')",Silent failure,0,1,1,wrong_aggregation,0.8,0.7 to 0.9,1,1,912,0.000551,304
133,V1,Llama 3.1 8B,zero-shot,complex,3,party_people,What are the names of parties that have no members?,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT p.Party_name FROM party p LEFT JOIN member m ON p.Party_ID = m.Party_ID WHERE m.Member_ID IS NULL,Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,408,0.000022,3305
134,V2,Llama 3.1 8B,few-shot,complex,3,party_people,What are the names of parties that have no members?,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT T1.party_name FROM party AS T1 LEFT JOIN member AS T2 ON T1.party_id = T2.party_id WHERE T2.member_id IS NULL,Correct,1,1,0,none,0.95,0.9 to 1.0,2,2,1042,0.000054,10601
135,V3,Llama 3.1 70B,zero-shot,complex,3,party_people,What are the names of parties that have no members?,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT T1.Party_name FROM party AS T1 LEFT JOIN member AS T2 ON T1.Party_ID = T2.Party_ID WHERE T2.Member_ID IS NULL,Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,417,0.000257,2422
136,V4,Llama 3.1 70B,few-shot,complex,3,party_people,What are the names of parties that have no members?,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT T1.Party_name FROM party AS T1 LEFT JOIN member AS T2 ON T1.Party_ID = T2.Party_ID WHERE T2.Member_ID IS NULL,Correct,1,1,0,none,0.9,0.9 to 1.0,2,2,1045,0.000627,5442
137,V1,Llama 3.1 8B,zero-shot,complex,3,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT AVG(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet),Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,319,0.000017,3197
138,V2,Llama 3.1 8B,few-shot,complex,3,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT AVG(T2.Age) FROM Student AS T1 LEFT JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID WHERE T2.StuID IS NULL,Loud error,0,0,0,schema_error,0.9,0.9 to 1.0,1,,966,0.000050,5419
139,V3,Llama 3.1 70B,zero-shot,complex,3,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT AVG(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet),Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,319,0.000196,1220
140,V4,Llama 3.1 70B,few-shot,complex,3,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT AVG(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,949,0.000567,4800
141,V1,Llama 3.1 8B,zero-shot,complex,3,poker_player,Return the money rank of the poker player with the greatest height.,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID WHERE T1.Height = (SELECT MAX(Height) FROM people),Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,303,0.000017,3256
142,V2,Llama 3.1 8B,few-shot,complex,3,poker_player,Return the money rank of the poker player with the greatest height.,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,SELECT T2.money_rank FROM people AS T1 JOIN poker_player AS T2 ON T1.people_id = T2.people_id ORDER BY T1.height DESC LIMIT 1,Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,924,0.000048,8337
143,V3,Llama 3.1 70B,zero-shot,complex,3,poker_player,Return the money rank of the poker player with the greatest height.,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,SELECT T2.Money_Rank FROM people AS T1 INNER JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,302,0.000190,381
144,V4,Llama 3.1 70B,few-shot,complex,3,poker_player,Return the money rank of the poker player with the greatest height.,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID = T2.People_ID ORDER BY T1.Height DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,928,0.000558,4426
145,V1,Llama 3.1 8B,zero-shot,complex,3,products_gen_characteristics,Return the color description that is most common across all products.,SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code GROUP BY t2.color_description ORDER BY count(*) DESC LIMIT 1,"SELECT T1.color_description FROM Ref_Colors AS T1 JOIN ( SELECT T2.color_code, COUNT(*) as count FROM Product_Characteristics AS T1 JOIN Products AS T2 ON T1.product_id = T2.product_id GROUP BY T2.color_code ) AS T3 ON T1.color_code = T3.color_code ORDER BY T3.count DESC LIMIT 1",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,617,0.000034,495
146,V2,Llama 3.1 8B,few-shot,complex,3,products_gen_characteristics,Return the color description that is most common across all products.,SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code GROUP BY t2.color_description ORDER BY count(*) DESC LIMIT 1,SELECT R.color_description FROM Ref_Colors AS R JOIN Products AS P ON R.color_code = P.color_code GROUP BY R.color_code ORDER BY COUNT(P.product_id) DESC LIMIT 1,Correct,1,1,0,none,0.8,0.7 to 0.9,1,1,1200,0.000062,12364
147,V3,Llama 3.1 70B,zero-shot,complex,3,products_gen_characteristics,Return the color description that is most common across all products.,SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code GROUP BY t2.color_description ORDER BY count(*) DESC LIMIT 1,SELECT T1.color_description FROM Ref_Colors T1 JOIN Products T2 ON T1.color_code = T2.color_code GROUP BY T1.color_description ORDER BY COUNT(T2.product_id) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,578,0.000354,456
148,V4,Llama 3.1 70B,few-shot,complex,3,products_gen_characteristics,Return the color description that is most common across all products.,SELECT t2.color_description FROM products AS t1 JOIN ref_colors AS t2 ON t1.color_code = t2.color_code GROUP BY t2.color_description ORDER BY count(*) DESC LIMIT 1,SELECT T1.color_description FROM Ref_Colors AS T1 JOIN Products AS T2 ON T1.color_code = T2.color_code GROUP BY T1.color_description ORDER BY COUNT(T2.product_id) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1212,0.000728,6739
149,V1,Llama 3.1 8B,zero-shot,complex,3,sakila_1,What is the title and id of the film that has the greatest number of copies in inventory?,"SELECT T1.title , T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id GROUP BY T1.film_id ORDER BY count(*) DESC LIMIT 1","SELECT f.title, f.film_id FROM film f JOIN inventory i ON f.film_id = i.film_id GROUP BY f.film_id ORDER BY COUNT(i.inventory_id) DESC LIMIT 1",Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,1536,0.000079,15608
150,V1,Llama 3.1 8B,zero-shot,complex,3,sakila_1,What is the film title and inventory id of the item in the inventory which was rented most frequently?,"SELECT T1.title , T2.inventory_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id GROUP BY T2.inventory_id ORDER BY count(*) DESC LIMIT 1","SELECT i.film_id, f.title, COUNT(r.rental_id) as total_rentals FROM inventory i JOIN film f ON i.film_id = f.film_id JOIN rental r ON i.inventory_id = r.inventory_id GROUP BY i.film_id, f.title ORDER BY total_rentals DESC LIMIT 1",Silent failure,0,1,1,wrong_aggregation,0.9,0.9 to 1.0,1,1,1578,0.000082,15544
151,V2,Llama 3.1 8B,few-shot,complex,3,sakila_1,What is the title and id of the film that has the greatest number of copies in inventory?,"SELECT T1.title , T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id GROUP BY T1.film_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.title, T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id GROUP BY T1.film_id ORDER BY COUNT(T2.inventory_id) DESC LIMIT 1",Correct,1,1,0,none,0.95,0.9 to 1.0,1,1,2173,0.000111,21433
152,V2,Llama 3.1 8B,few-shot,complex,3,sakila_1,What is the film title and inventory id of the item in the inventory which was rented most frequently?,"SELECT T1.title , T2.inventory_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id GROUP BY T2.inventory_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.title, T3.inventory_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id GROUP BY T3.inventory_id ORDER BY COUNT(T3.rental_id) DESC LIMIT 1",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,2195,0.000112,21682
153,V3,Llama 3.1 70B,zero-shot,complex,3,sakila_1,What is the title and id of the film that has the greatest number of copies in inventory?,"SELECT T1.title , T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id GROUP BY T1.film_id ORDER BY count(*) DESC LIMIT 1","SELECT f.title, f.film_id FROM film f JOIN inventory i ON f.film_id = i.film_id GROUP BY f.film_id ORDER BY COUNT(i.inventory_id) DESC LIMIT 1",Correct,1,1,0,none,1.0,0.9 to 1.0,1,1,1536,0.000918,7532
154,V3,Llama 3.1 70B,zero-shot,complex,3,sakila_1,What is the film title and inventory id of the item in the inventory which was rented most frequently?,"SELECT T1.title , T2.inventory_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id GROUP BY T2.inventory_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.title, T3.inventory_id FROM film AS T1 JOIN inventory AS T3 ON T1.film_id = T3.film_id JOIN rental AS T2 ON T3.inventory_id = T2.inventory_id GROUP BY T3.inventory_id ORDER BY COUNT(T2.rental_id) DESC LIMIT 1",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,1563,0.000940,7439
155,V4,Llama 3.1 70B,few-shot,complex,3,sakila_1,What is the title and id of the film that has the greatest number of copies in inventory?,"SELECT T1.title , T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id GROUP BY T1.film_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.title, T1.film_id FROM film AS T1 JOIN ( SELECT film_id, COUNT(inventory_id) as num_copies FROM inventory GROUP BY film_id ORDER BY num_copies DESC LIMIT 1 ) AS T2 ON T1.film_id = T2.film_id",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,2196,0.001313,53699
156,V4,Llama 3.1 70B,few-shot,complex,3,sakila_1,What is the film title and inventory id of the item in the inventory which was rented most frequently?,"SELECT T1.title , T2.inventory_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id = T2.film_id JOIN rental AS T3 ON T2.inventory_id = T3.inventory_id GROUP BY T2.inventory_id ORDER BY count(*) DESC LIMIT 1","SELECT T1.title, T3.inventory_id FROM film AS T1 JOIN inventory AS T3 ON T1.film_id = T3.film_id JOIN rental AS T2 ON T3.inventory_id = T2.inventory_id GROUP BY T3.inventory_id ORDER BY COUNT(T2.rental_id) DESC LIMIT 1",Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,2195,0.001312,526
157,V1,Llama 3.1 8B,zero-shot,complex,3,scientist_1,List the name of all projects that are operated longer than the average working hours of all projects.,SELECT name FROM projects WHERE hours > (SELECT avg(hours) FROM projects),SELECT Name FROM Projects WHERE Hours > (SELECT AVG(Hours) FROM Projects),Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,279,0.000015,343
158,V2,Llama 3.1 8B,few-shot,complex,3,scientist_1,List the name of all projects that are operated longer than the average working hours of all projects.,SELECT name FROM projects WHERE hours > (SELECT avg(hours) FROM projects),SELECT T1.name FROM Projects AS T1 JOIN AssignedTo AS T2 ON T1.code = T2.project GROUP BY T1.code HAVING SUM(T1.hours) > (SELECT AVG(hours) FROM Projects),Silent failure,0,1,1,wrong_join,0.95,0.9 to 1.0,2,1,937,0.000049,8314
159,V3,Llama 3.1 70B,zero-shot,complex,3,scientist_1,List the name of all projects that are operated longer than the average working hours of all projects.,SELECT name FROM projects WHERE hours > (SELECT avg(hours) FROM projects),SELECT Name FROM Projects WHERE Hours > (SELECT AVG(Hours) FROM Projects),Correct,1,1,0,none,1.0,0.9 to 1.0,2,2,279,0.000171,441
160,V4,Llama 3.1 70B,few-shot,complex,3,scientist_1,List the name of all projects that are operated longer than the average working hours of all projects.,SELECT name FROM projects WHERE hours > (SELECT avg(hours) FROM projects),SELECT Name FROM Projects WHERE Hours > (SELECT AVG(Hours) FROM Projects),Correct,1,1,0,none,0.95,0.9 to 1.0,2,2,909,0.000542,4403
161,V1,Llama 3.1 8B,zero-shot,complex,3,soccer_2,Which position is most popular among players in the tryout?,SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,"SELECT pPos, COUNT(*) as count FROM Tryout GROUP BY pPos ORDER BY count DESC LIMIT 1",Silent failure,0,1,1,wrong_projection,0.9,0.9 to 1.0,1,1,349,0.000019,3303
162,V2,Llama 3.1 8B,few-shot,complex,3,soccer_2,Which position is most popular among players in the tryout?,SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,SELECT pPos FROM Tryout GROUP BY pPos ORDER BY COUNT(pPos) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,975,0.000050,9283
163,V3,Llama 3.1 70B,zero-shot,complex,3,soccer_2,Which position is most popular among players in the tryout?,SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,SELECT pPos FROM Tryout GROUP BY pPos ORDER BY COUNT(pID) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,347,0.000213,1325
164,V4,Llama 3.1 70B,few-shot,complex,3,soccer_2,Which position is most popular among players in the tryout?,SELECT pPos FROM tryout GROUP BY pPos ORDER BY count(*) DESC LIMIT 1,SELECT pPos FROM Tryout GROUP BY pPos ORDER BY COUNT(pID) DESC LIMIT 1,Correct,1,1,0,none,0.9,0.9 to 1.0,1,1,975,0.000582,4611
